Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 600),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 600),Unit Price (@ Batch Size: 600),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [null],SKU [null],Packaging [null],Unit Price (@ Batch Size: 600) [null],Line Total [null],Batch Total [null],In Stock [null],MOQ [null],URL [null],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,
2,ERJ-6ENF2000V,Panasonic,ERJ-6ENF2000V,https://octopart.com/erj-6enf2000v-panasonic-55422489,"R6, R16",0805,"Resistor, 200 ohm, 0805",1200,P200CCT-ND,ERJ-6ENF2000V,Cut Tape,,0.00729,0.007,215579,114275,1,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=05ddadc&sid=459&ppid=55422489&vpid=188062794&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D50QC8w71jAvI%25252bvG4C5mcFQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF2000V%26utm_term%3DERJ-6ENF2000V%26utm_content%3DPanasonic&ppid=55422489&sig=07987e9&sid=2401&ct=offers,Mouser,ERJ-6ENF2000V,,0.007,0.014,8.4,114275,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D50QC8w71jAvI%25252bvG4C5mcFQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF2000V%26utm_term%3DERJ-6ENF2000V%26utm_content%3DPanasonic&ppid=55422489&sig=07987e9&sid=2401&ct=offers,
4,ERJ6ENF1001V,Panasonic,ERJ-6ENF1001V,https://octopart.com/erj-6enf1001v-panasonic-55422300,"R4, R14, R18, R20",0805,"Resistor, 1k ohm, 0805",2400,P1.00KCCT-ND,ERJ-6ENF1001V,Cut Tape,,0.00729,0.007,1732303,829698,1,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0acc620&sid=459&ppid=55422300&vpid=188062513&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D4WZYzuGhm5oUVX2rjuKY8w%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF1001V%26utm_term%3DERJ-6ENF1001V%26utm_content%3DPanasonic&ppid=55422300&sig=00d35db&sid=2401&ct=offers,Mouser,ERJ-6ENF1001V,,0.007,0.028,16.8,829698,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D4WZYzuGhm5oUVX2rjuKY8w%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF1001V%26utm_term%3DERJ-6ENF1001V%26utm_content%3DPanasonic&ppid=55422300&sig=00d35db&sid=2401&ct=offers,
1,ERJ-6ENF1501V,Panasonic,ERJ-6ENF1501V,https://octopart.com/erj-6enf1501v-panasonic-55422416,R3,0805,"Resistor, 1.5k ohm, 0805",600,P1.50KCCT-ND,ERJ-6ENF1501V,Cut Tape,,0.0099,0.012,193728,117728,1,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=04fc32a&sid=459&ppid=55422416&vpid=188062681&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D4WZYzuGhm5qa4PPEzdMS5A%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF1501V%26utm_term%3DERJ-6ENF1501V%26utm_content%3DPanasonic&ppid=55422416&sig=0198afb&sid=2401&ct=offers,Mouser,ERJ-6ENF1501V,,0.012,0.012,7.2,117728,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D4WZYzuGhm5qa4PPEzdMS5A%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF1501V%26utm_term%3DERJ-6ENF1501V%26utm_content%3DPanasonic&ppid=55422416&sig=0198afb&sid=2401&ct=offers,
2,ERJ-6ENF2201V,Panasonic,ERJ-6ENF2201V,https://octopart.com/erj-6enf2201v-panasonic-9251189,"R11, R13",0805,"Resistor, 2.2k ohm, 0805",1200,P2.20KCCT-ND,ERJ-6ENF2201V,Cut Tape,,0.00729,0.007,157789,79563,1,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=02bdfba&sid=459&ppid=9251189&vpid=115222534&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D50QC8w71jAvtyOk2cF6y8g%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF2201V%26utm_term%3DERJ-6ENF2201V%26utm_content%3DPanasonic&ppid=9251189&sig=00f5fae&sid=2401&ct=offers,Mouser,ERJ-6ENF2201V,,0.007,0.014,8.4,79563,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D50QC8w71jAvtyOk2cF6y8g%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF2201V%26utm_term%3DERJ-6ENF2201V%26utm_content%3DPanasonic&ppid=9251189&sig=00f5fae&sid=2401&ct=offers,
3,ERJ-6ENF4701V,Panasonic,ERJ-6ENF4701V,https://octopart.com/erj-6enf4701v-panasonic-9228799,"R8, R19, R21",0805,"Resistor, 4.7k ohm, 0805",1200,P4.70KCCT-ND,ERJ-6ENF4701V,Cut Tape,,0.00729,0.007,881201,175543,1,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=039e4b5&sid=459&ppid=9228799&vpid=115131785&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DJjxTDIFmKPR%252fJnInnZxdyQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF4701V%26utm_term%3DERJ-6ENF4701V%26utm_content%3DPanasonic&ppid=9228799&sig=0c11bde&sid=2401&ct=offers,Mouser,ERJ-6ENF4701V,,0.007,0.014,8.4,175543,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DJjxTDIFmKPR%252fJnInnZxdyQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF4701V%26utm_term%3DERJ-6ENF4701V%26utm_content%3DPanasonic&ppid=9228799&sig=0c11bde&sid=2401&ct=offers,
4,ERJ6ENF1002V,Panasonic,ERJ-6ENF1002V,https://octopart.com/erj-6enf1002v-panasonic-55403681,"R1, R7, R17, R800",0805,"Resistor, 10k ohm, 0805",2400,P10.0KCCT-ND,ERJ-6ENF1002V,Cut Tape,,0.00729,0.007,2719075,1580378,1,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0eabd2b&sid=459&ppid=55403681&vpid=188062516&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D4WZYzuGhm5pfKPfuMiCO5g%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF1002V%26utm_term%3DERJ-6ENF1002V%26utm_content%3DPanasonic&ppid=55403681&sig=0850b5d&sid=2401&ct=offers,Mouser,ERJ-6ENF1002V,,0.007,0.028,16.8,1580378,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D4WZYzuGhm5pfKPfuMiCO5g%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF1002V%26utm_term%3DERJ-6ENF1002V%26utm_content%3DPanasonic&ppid=55403681&sig=0850b5d&sid=2401&ct=offers,
10,ERJ-6ENF1003V,Panasonic,ERJ-6ENF1003V,https://octopart.com/erj-6enf1003v-panasonic-55405024,"R601, R602, R901, R902, R903, R904, R905, R906, R907, R908",0805,"Resistor, 100k ohm, 0805",6000,P100KCCT-ND,ERJ-6ENF1003V,Cut Tape,,0.00729,0.005,1063447,488582,1,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0f4a564&sid=459&ppid=55405024&vpid=188062519&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D4WZYzuGhm5rTmDUb%252f%25252bEA6A%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF1003V%26utm_term%3DERJ-6ENF1003V%26utm_content%3DPanasonic&ppid=55405024&sig=0d72965&sid=2401&ct=offers,Mouser,ERJ-6ENF1003V,,0.005,0.05,30,488582,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D4WZYzuGhm5rTmDUb%252f%25252bEA6A%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF1003V%26utm_term%3DERJ-6ENF1003V%26utm_content%3DPanasonic&ppid=55405024&sig=0d72965&sid=2401&ct=offers,
2,ERJ-6ENF1004V,Panasonic,ERJ-6ENF1004V,https://octopart.com/erj-6enf1004v-panasonic-55403682,"R9, R15",0805,"Resistor, 1M ohm, 0805",600,P1.00MCCT-ND,ERJ-6ENF1004V,Cut Tape,,0.0099,0.011,463848,82061,1,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=08083ec&sid=459&ppid=55403682&vpid=188062522&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DFsveJYYILCLvCNIdKIvIqA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF1004V%26utm_term%3DERJ-6ENF1004V%26utm_content%3DPanasonic&ppid=55403682&sig=05061d1&sid=2401&ct=offers,Mouser,ERJ-6ENF1004V,,0.011,0.011,6.6,82061,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DFsveJYYILCLvCNIdKIvIqA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DERJ-6ENF1004V%26utm_term%3DERJ-6ENF1004V%26utm_content%3DPanasonic&ppid=55403682&sig=05061d1&sid=2401&ct=offers,
1,NCP21WF104J03RA,Murata,NCP21WF104J03RA,https://octopart.com/ncp21wf104j03ra-murata-745661,R402,0805,"NTC thermistor, 100K ohm, 5%, 0805",600,490-2451-1-ND,NCP21WF104J03RA,Cut Tape,,0.09956,0.1,58715,54213,1,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0e59d1c&sid=459&ppid=745661&vpid=2046268&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3Dh0qUPQyyc9eAo3Sfle8I0w%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DNCP21WF104J03RA%26utm_term%3DNCP21WF104J03RA%26utm_content%3DMurata+Electronics&ppid=745661&sig=036cb76&sid=2401&ct=offers,Mouser,NCP21WF104J03RA,,0.1,0.1,60,54213,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3Dh0qUPQyyc9eAo3Sfle8I0w%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DNCP21WF104J03RA%26utm_term%3DNCP21WF104J03RA%26utm_content%3DMurata+Electronics&ppid=745661&sig=036cb76&sid=2401&ct=offers,
1,BLM21AG221SN1D,Murata,BLM21AG221SN1D,https://octopart.com/blm21ag221sn1d-murata-84583,L200,0805,"EMI Filter Bead, 220 OHM, 0805",600,490-9704-1-ND,BLM21AG221SN1D,Cut Tape,,0.0503,0.05,9550,20023,1,1,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=02dc9bf&sid=459&ppid=84583&vpid=134454999&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DYx1HeqtvVDiHfsyNNtpxJA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DBLM21AG221SN1D%26utm_term%3DBLM21AG221SN1D%26utm_content%3DMurata+Electronics&ppid=84583&sig=09926fb&sid=2401&ct=offers,Mouser,BLM21AG221SN1D,,0.05,0.05,30,20023,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DYx1HeqtvVDiHfsyNNtpxJA%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DBLM21AG221SN1D%26utm_term%3DBLM21AG221SN1D%26utm_content%3DMurata+Electronics&ppid=84583&sig=09926fb&sid=2401&ct=offers,
